,supply,return
2018-01-05T22:30:00Z,"150.71579,","120.595566,"
2018-01-05T23:00:00Z,"122.567062,","123.369186,"
2018-01-05T23:30:00Z,"162.358017,","118.435425,"
2018-01-06T00:00:00Z,"120.041367,","125.621941,"
2018-01-06T00:30:00Z,"162.212,","117.017174,"
2018-01-06T01:00:00Z,"118.853638,","120.819176,"
2018-01-06T01:30:00Z,"95.0185242,","92.37547,"
2018-01-06T02:00:00Z,"114.164764,","96.26011,"
2018-01-06T02:30:00Z,"124.922264,","98.2980347,"
2018-01-06T03:00:00Z,"126.245842,","100.36454,"
2018-01-06T03:30:00Z,"119.115219,","103.683548,"
2018-01-06T04:00:00Z,"107.383659,","107.153671,"
2018-01-06T04:30:00Z,"112.2947,","107.391159,"
2018-01-06T05:00:00Z,"139.04451,","106.45507,"
2018-01-06T05:30:00Z,"143.022018,","107.838074,"
2018-01-06T06:00:00Z,"114.669952,","110.840073,"
2018-01-06T06:30:00Z,"111.221947,","110.724686,"
2018-01-06T07:00:00Z,"128.5452,","108.599991,"
2018-01-06T07:30:00Z,"143.881454,","107.6936,"
2018-01-06T08:00:00Z,"133.2767,","108.716431,"
2018-01-06T08:30:00Z,"111.343712,","110.400887,"
2018-01-06T09:00:00Z,"112.2953,","110.357346,"
2018-01-06T09:30:00Z,"133.0122,","107.9814,"
2018-01-06T10:00:00Z,"143.024,","107.519608,"
2018-01-06T10:30:00Z,"117.83316,","108.882164,"
2018-01-06T11:00:00Z,"110.163223,","110.625771,"
2018-01-06T11:30:00Z,"112.670227,","109.752243,"
2018-01-06T12:00:00Z,"135.42897,","107.549515,"
2018-01-06T12:30:00Z,"141.429962,","108.01062,"
2018-01-06T13:00:00Z,"124.33075,","110.768059,"
2018-01-06T13:30:00Z,"136.717377,","117.025551,"
2018-01-06T14:00:00Z,"146.383072,","120.680794,"
2018-01-06T14:30:00Z,"124.482269,","119.660645,"
2018-01-06T15:00:00Z,"150.434113,","119.953514,"
2018-01-06T15:30:00Z,"120.271782,","124.181831,"
2018-01-06T16:00:00Z,"168.0876,","116.895027,"
2018-01-06T16:30:00Z,"123.447556,","124.851189,"
2018-01-06T17:00:00Z,"152.407745,","117.565147,"
2018-01-06T17:30:00Z,"141.224564,","122.725983,"
2018-01-06T18:00:00Z,"124.648628,","121.258804,"
2018-01-06T18:30:00Z,"158.944061,","118.226624,"
2018-01-06T19:00:00Z,"121.503624,","125.427231,"
2018-01-06T19:30:00Z,"146.66272,","117.867607,"
2018-01-06T20:00:00Z,"142.067291,","122.812126,"
2018-01-06T20:30:00Z,"126.483765,","120.682922,"
2018-01-06T21:00:00Z,"161.817978,","118.845535,"
2018-01-06T21:30:00Z,"120.45211,","125.03849,"
2018-01-06T22:00:00Z,"155.745972,","117.975708,"
2018-01-06T22:30:00Z,"133.096863,","123.605293,"
2018-01-06T23:00:00Z,"128.404831,","120.330521,"
2018-01-06T23:30:00Z,"156.200317,","119.5087,"
2018-01-07T00:00:00Z,"118.449928,","118.385574,"
2018-01-07T00:30:00Z,"123.390121,","93.50275,"
2018-01-07T01:00:00Z,"115.146118,","97.75754,"
2018-01-07T01:30:00Z,"123.218712,","99.79505,"
2018-01-07T02:00:00Z,"133.758286,","101.760849,"
2018-01-07T02:30:00Z,"122.390717,","104.144257,"
2018-01-07T03:00:00Z,"108.448883,","107.809036,"
2018-01-07T03:30:00Z,"112.187347,","108.607895,"
2018-01-07T04:00:00Z,"141.327179,","107.340652,"
2018-01-07T04:30:00Z,"126.151985,","109.278252,"
2018-01-07T05:00:00Z,"110.837357,","111.071457,"
2018-01-07T05:30:00Z,"120.586868,","109.845879,"
2018-01-07T06:00:00Z,"141.858154,","108.168755,"
2018-01-07T06:30:00Z,"122.384369,","109.234634,"
2018-01-07T07:00:00Z,"111.005577,","111.175056,"
2018-01-07T07:30:00Z,"117.594406,","110.285538,"
2018-01-07T08:00:00Z,"140.687836,","108.182869,"
2018-01-07T08:30:00Z,"141.121338,","108.62986,"
2018-01-07T09:00:00Z,"113.833382,","110.905037,"
2018-01-07T09:30:00Z,"112.337837,","110.609512,"
2018-01-07T10:00:00Z,"132.371964,","108.125313,"
2018-01-07T10:30:00Z,"140.052765,","107.79483,"
2018-01-07T11:00:00Z,"124.112671,","110.2212,"
2018-01-07T11:30:00Z,"110.768,","110.336861,"
2018-01-07T12:00:00Z,"119.402473,","109.774231,"
2018-01-07T12:30:00Z,"141.896057,","107.80864,"
2018-01-07T13:00:00Z,"156.689621,","108.586487,"
2018-01-07T13:30:00Z,"151.1309,","120.371819,"
2018-01-07T14:00:00Z,"122.637115,","121.807442,"
2018-01-07T14:30:00Z,"163.891586,","118.636993,"
2018-01-07T15:00:00Z,"119.997879,","124.427177,"
2018-01-07T15:30:00Z,"159.793274,","117.176,"
2018-01-07T16:00:00Z,"131.444183,","124.548019,"
2018-01-07T16:30:00Z,"126.1461,","122.043694,"
2018-01-07T17:00:00Z,"157.042618,","119.163071,"
2018-01-07T17:30:00Z,"127.819389,","125.100784,"
2018-01-07T18:00:00Z,"146.618225,","119.156525,"
2018-01-07T18:30:00Z,"138.243271,","122.302361,"
2018-01-07T19:00:00Z,"141.17366,","122.042046,"
2018-01-07T19:30:00Z,"133.89183,","120.15197,"
2018-01-07T20:00:00Z,"124.836929,","109.794991,"
2018-01-07T20:30:00Z,"141.295486,","122.557587,"
2018-01-07T21:00:00Z,"123.389641,","108.346222,"
2018-01-07T21:30:00Z,"133.9361,","123.116791,"
2018-01-07T22:00:00Z,"119.61676,","106.347137,"
2018-01-07T22:30:00Z,"122.957344,","120.754013,"
2018-01-07T23:00:00Z,"132.07312,","117.262291,"
2018-01-07T23:30:00Z,"143.382736,","122.4607,"
2018-01-08T00:00:00Z,"106.59153,","104.76339,"
2018-01-08T00:30:00Z,"90.98779,","89.5376,"
2018-01-08T01:00:00Z,"99.47581,","90.1327744,"
2018-01-08T01:30:00Z,"108.536362,","91.04734,"
2018-01-08T02:00:00Z,"109.133987,","93.1426544,"
2018-01-08T02:30:00Z,"98.2109,","93.83088,"
2018-01-08T03:00:00Z,"110.09111,","97.06124,"
2018-01-08T03:30:00Z,"103.351135,","96.39663,"
2018-01-08T04:00:00Z,"104.345993,","97.27524,"
2018-01-08T04:30:00Z,"117.089081,","99.18331,"
2018-01-08T05:00:00Z,"104.345505,","100.090385,"
2018-01-08T05:30:00Z,"105.267204,","98.8734,"
2018-01-08T06:00:00Z,"107.692825,","99.1686249,"
2018-01-08T06:30:00Z,"109.954376,","99.02474,"
2018-01-08T07:00:00Z,"111.891357,","100.371262,"
2018-01-08T07:30:00Z,"113.525604,","100.178604,"
2018-01-08T08:00:00Z,"110.112022,","100.590828,"
2018-01-08T08:30:00Z,"107.234642,","100.673714,"
2018-01-08T09:00:00Z,"110.628326,","100.646217,"
2018-01-08T09:30:00Z,"109.183632,","101.044846,"
2018-01-08T10:00:00Z,"112.510231,","101.501556,"
2018-01-08T10:30:00Z,"111.970329,","100.179871,"
2018-01-08T11:00:00Z,"109.463005,","100.41394,"
2018-01-08T11:30:00Z,"111.264946,","99.81296,"
2018-01-08T12:00:00Z,"141.191025,","99.98821,"
2018-01-08T12:30:00Z,"142.455261,","126.672791,"
2018-01-08T13:00:00Z,"146.980515,","124.023361,"
2018-01-08T13:30:00Z,"142.044968,","119.477615,"
2018-01-08T14:00:00Z,"135.09697,","120.985771,"
2018-01-08T14:30:00Z,"136.896851,","121.510284,"
2018-01-08T15:00:00Z,"136.443085,","123.847755,"
2018-01-08T15:30:00Z,"123.180626,","122.321831,"
2018-01-08T16:00:00Z,"134.844681,","99.9318542,"
2018-01-08T16:30:00Z,"122.805008,","117.871536,"
2018-01-08T17:00:00Z,"113.503807,","97.709816,"
2018-01-08T17:30:00Z,"129.946991,","114.391357,"
2018-01-08T18:00:00Z,"114.555862,","96.91539,"
2018-01-08T18:30:00Z,"123.28788,","116.736794,"
2018-01-08T19:00:00Z,"103.9262,","96.99432,"
2018-01-08T19:30:00Z,"135.060852,","116.880844,"
2018-01-08T20:00:00Z,"101.040611,","99.17946,"
2018-01-08T20:30:00Z,"131.212418,","113.460083,"
2018-01-08T21:00:00Z,"104.014343,","102.365517,"
2018-01-08T21:30:00Z,"127.939964,","102.920067,"
2018-01-08T22:00:00Z,"107.664719,","105.540718,"
2018-01-08T22:30:00Z,"107.507782,","97.15655,"
2018-01-08T23:00:00Z,"111.293488,","109.306374,"
2018-01-08T23:30:00Z,"109.709671,","98.9096756,"
2018-01-09T00:00:00Z,"116.179031,","116.146446,"
2018-01-09T00:30:00Z,"113.402794,","98.0673,"
2018-01-09T01:00:00Z,"118.226326,","115.032761,"
2018-01-09T01:30:00Z,"95.33835,","93.79035,"
2018-01-09T02:00:00Z,"85.76272,","82.63032,"
2018-01-09T02:30:00Z,"89.52076,","85.8487549,"
2018-01-09T03:00:00Z,"91.8750153,","88.28233,"
2018-01-09T03:30:00Z,"93.30058,","89.50629,"
2018-01-09T04:00:00Z,"93.84775,","90.197525,"
2018-01-09T04:30:00Z,"94.43091,","90.8166046,"
2018-01-09T05:00:00Z,"95.66313,","91.57614,"
2018-01-09T05:30:00Z,"96.65946,","92.73892,"
2018-01-09T06:00:00Z,"97.42638,","93.7254944,"
2018-01-09T06:30:00Z,"98.05266,","94.19331,"
2018-01-09T07:00:00Z,"106.899269,","95.02856,"
