DT,HDD,CDD
2018-01-04T20:30:00Z,"65.23459,",0
2018-01-04T21:00:00Z,"74.95926,",0
2018-01-04T21:30:00Z,"50.98496,",0
2018-01-04T22:00:00Z,"51.2491341,",0
2018-01-04T22:30:00Z,"65.96741,",0
2018-01-04T23:00:00Z,"59.58793,",0
2018-01-04T23:30:00Z,"46.36891,",0
2018-01-05T00:00:00Z,"55.4318962,",0
2018-01-05T00:30:00Z,"52.0605125,",0
2018-01-05T01:00:00Z,"10.8316727,",0
2018-01-05T01:30:00Z,"4.81490564,",0
2018-01-05T02:00:00Z,"13.56625,",0
2018-01-05T02:30:00Z,"67.54998,",0
2018-01-05T03:00:00Z,"47.8311234,",0
2018-01-05T03:30:00Z,"34.2222252,",0
2018-01-05T04:00:00Z,"4.498402,",0
2018-01-05T04:30:00Z,"20.4211826,",0
2018-01-05T05:00:00Z,"75.54554,",0
2018-01-05T05:30:00Z,"46.3777351,",0
2018-01-05T06:00:00Z,"37.59746,",0
2018-01-05T06:30:00Z,"51.72199,",0
2018-01-05T07:00:00Z,"70.95344,",0
2018-01-05T07:30:00Z,"104.049644,",0
2018-01-05T08:00:00Z,"87.17071,",0
2018-01-05T08:30:00Z,"18.5432415,",0
2018-01-05T09:00:00Z,"-1.52586532,",0
2018-01-05T09:30:00Z,"1.95105886,",0
2018-01-05T10:00:00Z,"13.0776176,",0
2018-01-05T10:30:00Z,"51.5749359,",0
2018-01-05T11:00:00Z,"81.17322,",0
2018-01-05T11:30:00Z,"91.31111,",0
2018-01-05T12:00:00Z,"132.299728,",0
2018-01-05T12:30:00Z,"-11.1473351,",0
2018-01-05T13:00:00Z,"136.51973,",0
2018-01-05T13:30:00Z,"-17.2985954,",0
2018-01-05T14:00:00Z,"151.009338,",0
2018-01-05T14:30:00Z,"-14.6893377,",0
2018-01-05T15:00:00Z,"139.030136,",0
2018-01-05T15:30:00Z,"-10.1581736,",0
2018-01-05T16:00:00Z,"108.914719,",0
2018-01-05T16:30:00Z,"-2.28249669,",0
2018-01-05T17:00:00Z,"125.597618,",0
2018-01-05T17:30:00Z,"-10.1830835,",0
2018-01-05T18:00:00Z,"131.421417,",0
2018-01-05T18:30:00Z,"-17.04586,",0
2018-01-05T19:00:00Z,"118.5869,",0
2018-01-05T19:30:00Z,"-6.6032567,",0
2018-01-05T20:00:00Z,"106.497749,",0
2018-01-05T20:30:00Z,"12.9962692,",0
2018-01-05T21:00:00Z,"63.4176369,",0
2018-01-05T21:30:00Z,"43.2090759,",0
2018-01-05T22:00:00Z,"23.0351143,",0
2018-01-05T22:30:00Z,"88.63707,",0
2018-01-05T23:00:00Z,"-2.27426839,",0
2018-01-05T23:30:00Z,"126.359146,",0
2018-01-06T00:00:00Z,"-16.244585,",0
2018-01-06T00:30:00Z,"127.357025,",0
2018-01-06T01:00:00Z,"-5.640063,",0
2018-01-06T01:30:00Z,"7.270197,",0
2018-01-06T02:00:00Z,"50.0852127,",0
2018-01-06T02:30:00Z,"74.3369,",0
2018-01-06T03:00:00Z,"72.04937,",0
2018-01-06T03:30:00Z,"43.34366,",0
2018-01-06T04:00:00Z,"0.6469048,",0
